"date","par.mean","par.min","par.max"
2003-02-12 12:00:00,33.5182490948466,0.91,40.508
2003-02-13 12:00:00,36.1029604660431,11.748,40.772
2003-02-14 12:00:00,32.9531467175784,6.198,40.596
2003-02-15 12:00:00,34.2902489398447,0.256,41.252
2003-02-16 12:00:00,33.0452193078738,0.312,41.56
2003-02-17 12:00:00,23.1775352647857,0.292,41.264
2003-02-18 12:00:00,26.980449219999,3.922,41.806
2003-02-19 12:00:00,33.9081995466569,0.624,42.378
2003-02-20 12:00:00,26.5554413603378,0.254,42.558
2003-02-22 12:00:00,31.0648244048691,0.31,43.336
2003-02-23 12:00:00,31.8143373244642,0.544,43.392
2003-02-24 12:00:00,35.3495687202594,0.334,43.758
2003-02-25 12:00:00,27.3837164114448,0.334,42.84
2003-02-26 12:00:00,35.0230921464383,0.282,44.414
2003-02-27 12:00:00,23.0284601192608,0.294,43.656
2003-02-28 12:00:00,22.1960307577147,0.704,44.828
2003-03-01 12:00:00,14.1144803306126,0.3,44.434
2003-03-02 12:00:00,28.1349840866895,1.312,45.368
2003-03-03 12:00:00,24.8612162284601,0.328,45.166
2003-03-04 12:00:00,19.4981533102482,0.408,45.736
2003-03-05 12:00:00,38.6571023544512,0.376,46.612
2003-03-06 12:00:00,39.7022643966834,0.388,46.926
2003-03-07 12:00:00,30.0313364060726,0.332,47.232
2003-03-08 12:00:00,37.8856417363006,0.362,46.688
2003-03-09 12:00:00,25.0014808088761,1.48,47.73
2003-03-10 12:00:00,37.6424417107723,0.388,46.526
2003-03-11 12:00:00,38.074620912793,1.456,47.156
2003-03-12 12:00:00,41.0908998016667,0.404,48.352
2003-03-13 12:00:00,30.7416634913425,0.366,47.742
2003-03-14 12:00:00,35.3791068146547,0.404,48.904
2003-03-15 12:00:00,17.0434711366035,0.352,47.392
2003-03-16 12:00:00,42.6857032918973,0.814,49.354
2003-03-17 12:00:00,16.2724136742032,0.366,48.948
2003-03-18 12:00:00,40.2052222787501,1.56,49.356
2003-03-19 12:00:00,41.4077929605221,0.398,50.038
2003-03-20 12:00:00,37.049432593835,0.392,50.064
2003-03-21 12:00:00,33.7833216485477,0.378,50.568
2003-03-22 12:00:00,42.2783055718006,0.496,50.034
2003-03-23 12:00:00,20.6582792681029,0.438,51.372
2003-03-24 12:00:00,37.1368726811607,0.418,51.384
2003-03-25 12:00:00,47.0814843736998,1.692,51.932
2003-03-26 12:00:00,38.4308369209235,0.526,50.36
2003-03-27 12:00:00,24.0687442763696,1.768,50.022
2003-03-28 12:00:00,32.3190532477103,0.404,52.518
2003-03-29 12:00:00,48.6063107298492,11.23,52.894
2003-03-30 12:00:00,29.5055966891261,0.408,53.05
2003-03-31 12:00:00,40.5042612698303,6.05,53.252
2003-04-01 12:00:00,44.196637581957,8.034,53.06
2003-04-02 12:00:00,49.0101599001686,6.248,53.602
2003-04-03 12:00:00,49.2790657787021,1.836,52.746
2003-04-04 12:00:00,42.4022340350294,0.544,54.148
2003-04-05 12:00:00,50.6131028324057,15.064,54.312
2003-04-06 12:00:00,43.1316395913455,0.436,54.564
2003-04-07 12:00:00,47.4765306410278,11.406,54.8
2003-04-08 12:00:00,40.4018003123277,0.494,55.044
2003-04-09 12:00:00,27.1674924401794,0.45,53.994
2003-04-10 12:00:00,44.23606765386,1.898,53.832
2003-04-11 12:00:00,27.1148884941461,0.458,54.426
2003-04-12 12:00:00,53.1013395323017,35.474,55.72
2003-04-13 12:00:00,52.7239656900312,0.608,55.996
2003-04-14 12:00:00,50.766425167019,0.638,56.042
2003-04-15 12:00:00,49.9848225235304,0.526,56.23
2003-04-16 12:00:00,49.7798256460696,0.768,56.266
2003-04-17 12:00:00,50.7331443761691,1.998,56.55
2003-04-18 12:00:00,47.9893863186536,0.504,56.64
2003-04-19 12:00:00,51.6116761681108,2.002,55.53
2003-04-20 12:00:00,49.0084784714678,1.08,57.092
2003-04-21 12:00:00,53.4449482430949,15.574,57.368
2003-04-22 12:00:00,52.9099466599339,0.516,57.468
2003-04-23 12:00:00,54.5900987050079,14.762,57.526
2003-04-24 12:00:00,53.6582415142614,10.636,57.776
2003-04-25 12:00:00,36.4340851879724,0.5,56.224
2003-04-26 12:00:00,35.2764588923429,2.072,56.282
2003-04-27 12:00:00,51.2253464223933,0.528,57.046
2003-04-28 12:00:00,49.212021419339,6.474,57.328
2003-04-29 12:00:00,51.9953060457909,0.554,58.356
2003-04-30 12:00:00,34.2870772727873,0.544,57.596
2003-05-01 12:00:00,18.86243161534,0.534,56.808
2003-05-02 12:00:00,54.7197323446038,5.104,58.738
2003-05-03 12:00:00,53.570435192347,11.634,58.82
2003-05-04 12:00:00,54.183962455706,0.56,58.936
2003-05-05 12:00:00,54.0252006761465,19.342,57.856
2003-05-06 12:00:00,53.277523007909,5.828,59.296
2003-05-07 12:00:00,54.0500910871146,32.134,59.356
2003-05-08 12:00:00,56.1082160016201,6.216,59.472
2003-05-09 12:00:00,56.7334786701134,20.516,59.556
2003-05-10 12:00:00,57.5144804909014,8.788,59.72
2003-05-11 12:00:00,54.5808967964952,19.864,59.738
2003-05-12 12:00:00,57.1639020840764,13.118,58.74
2003-05-13 12:00:00,53.7146361534532,0.554,59.95
2003-05-14 12:00:00,56.3960915135954,39.898,58.83
2003-05-15 12:00:00,42.4315857823218,0.564,59.922
2003-05-16 12:00:00,50.4577526088136,2.904,59.166
2003-05-17 12:00:00,45.835733645705,0.554,60.146
2003-05-18 12:00:00,51.8916169241802,0.592,60.252
